horas_estudio,asistencia,participacion_parental,acceso_a_recursos,actividades_extracurriculares,horas_suenio,calificaciones_previas,nivel_motivacion,acceso_internet,sesiones_tutoria,ingreso_familiar,calidad_profesorado,tipo_escuela,influencia_companieros,actividad_fisica,discapacidad_aprendizaje,nivel_estudio_padres,distancia,genero,puntaje_examen
18,70,medio,bajo,si,8,51,medio,si,1,bajo,medio,privado,negativo,3,no,universidad,moderado,hombre,62
15,91,medio,bajo,no,6,72,bajo,si,0,medio,bajo,publico,neutral,2,no,preparatoria,moderado,mujer,65
14,98,elevado,elevado,si,7,76,medio,si,0,bajo,medio,publico,neutral,2,no,posgrado,cercano,hombre,71
8,88,medio,bajo,si,8,92,elevado,si,1,bajo,medio,publico,negativo,4,no,universidad,cercano,hombre,66
32,84,bajo,medio,si,8,96,medio,si,1,bajo,medio,publico,positivo,3,no,preparatoria,cercano,mujer,72
13,78,medio,bajo,si,9,73,medio,si,0,medio,elevado,privado,negativo,4,no,preparatoria,cercano,hombre,64
19,75,medio,bajo,no,7,65,bajo,si,0,bajo,bajo,privado,neutral,4,no,preparatoria,cercano,mujer,63
18,74,bajo,medio,si,7,67,bajo,si,0,bajo,medio,publico,positivo,3,no,preparatoria,cercano,hombre,63
22,85,elevado,medio,no,8,79,elevado,si,5,medio,elevado,publico,neutral,2,no,preparatoria,cercano,mujer,72
25,90,medio,bajo,si,7,64,medio,si,2,medio,elevado,publico,positivo,2,no,preparatoria,moderado,hombre,71
25,87,elevado,elevado,si,6,96,bajo,no,3,medio,bajo,publico,positivo,2,no,preparatoria,moderado,mujer,72
17,68,medio,elevado,si,8,71,medio,si,1,medio,elevado,privado,neutral,2,no,preparatoria,cercano,hombre,65
19,80,medio,bajo,si,5,100,medio,si,0,medio,bajo,publico,neutral,3,no,preparatoria,cercano,mujer,67
22,92,bajo,elevado,si,7,55,bajo,si,1,bajo,medio,publico,positivo,4,no,preparatoria,moderado,mujer,68
19,79,medio,elevado,si,5,59,medio,si,2,bajo,medio,privado,neutral,2,no,posgrado,lejano,hombre,66
30,81,medio,elevado,no,6,76,medio,si,0,elevado,medio,publico,positivo,3,no,posgrado,cercano,hombre,72
23,91,elevado,medio,no,6,93,medio,si,3,bajo,bajo,publico,neutral,3,no,preparatoria,moderado,mujer,71
24,86,medio,elevado,no,6,68,bajo,si,3,bajo,elevado,publico,positivo,3,si,universidad,moderado,mujer,70
24,76,medio,bajo,no,9,92,medio,si,1,medio,bajo,publico,neutral,3,no,posgrado,cercano,mujer,68
27,96,medio,elevado,no,9,71,bajo,si,0,bajo,medio,privado,positivo,4,no,universidad,cercano,mujer,72
21,67,bajo,medio,si,9,93,elevado,si,1,bajo,elevado,publico,neutral,3,no,universidad,cercano,hombre,66
12,100,medio,bajo,no,7,64,medio,si,1,medio,elevado,publico,positivo,6,no,preparatoria,cercano,hombre,69
22,65,bajo,medio,si,6,74,elevado,si,2,medio,bajo,publico,positivo,1,no,universidad,cercano,hombre,65
16,61,elevado,elevado,no,8,64,medio,si,1,bajo,elevado,publico,positivo,3,no,preparatoria,lejano,hombre,62
17,96,elevado,elevado,no,7,61,bajo,si,1,bajo,elevado,publico,positivo,1,no,universidad,moderado,mujer,69
24,70,medio,bajo,si,7,71,medio,si,1,medio,bajo,publico,negativo,4,no,preparatoria,cercano,hombre,65
27,89,medio,bajo,no,4,67,medio,si,2,bajo,bajo,privado,neutral,4,no,universidad,cercano,mujer,69
20,92,bajo,elevado,si,8,89,medio,si,1,bajo,medio,publico,neutral,3,no,preparatoria,moderado,mujer,69
22,94,elevado,medio,si,8,87,medio,si,2,bajo,,privado,neutral,5,no,universidad,cercano,mujer,73
30,100,elevado,medio,si,7,68,bajo,si,2,medio,bajo,privado,neutral,2,no,posgrado,cercano,mujer,75
21,72,elevado,elevado,si,8,100,medio,si,3,bajo,elevado,privado,positivo,3,no,universidad,lejano,hombre,70
36,88,medio,elevado,no,8,99,elevado,si,0,bajo,medio,privado,negativo,3,no,universidad,cercano,mujer,74
23,65,medio,bajo,si,6,96,medio,si,0,bajo,bajo,publico,positivo,3,no,preparatoria,cercano,hombre,65
9,76,medio,bajo,no,7,79,medio,si,1,medio,bajo,publico,negativo,3,no,universidad,cercano,hombre,63
25,94,elevado,elevado,no,5,71,bajo,si,4,medio,elevado,publico,negativo,4,no,universidad,cercano,mujer,74
22,75,elevado,elevado,si,9,66,bajo,si,0,bajo,medio,privado,neutral,2,no,posgrado,cercano,hombre,67
28,84,medio,bajo,si,8,51,medio,no,3,medio,bajo,publico,positivo,4,no,posgrado,cercano,mujer,71
24,80,elevado,bajo,si,6,82,medio,si,1,bajo,elevado,publico,neutral,3,no,universidad,moderado,mujer,68
19,86,elevado,medio,no,8,78,medio,si,2,medio,bajo,publico,negativo,4,no,universidad,cercano,mujer,69
13,99,medio,elevado,no,7,81,medio,si,0,medio,bajo,publico,positivo,4,no,posgrado,cercano,hombre,71
19,62,elevado,medio,si,6,79,bajo,si,7,medio,bajo,publico,neutral,2,no,preparatoria,cercano,mujer,66
15,83,medio,bajo,si,7,57,bajo,si,0,medio,bajo,privado,positivo,3,no,posgrado,cercano,hombre,65
17,95,medio,bajo,si,8,85,bajo,no,1,bajo,elevado,privado,negativo,2,no,universidad,moderado,mujer,66
24,79,bajo,bajo,si,8,68,elevado,si,2,bajo,medio,privado,negativo,2,no,preparatoria,cercano,hombre,65
30,63,medio,bajo,no,10,76,medio,si,1,medio,bajo,publico,neutral,4,no,posgrado,moderado,mujer,67
22,82,elevado,medio,no,7,68,elevado,si,2,bajo,medio,privado,neutral,4,no,posgrado,cercano,hombre,70
13,73,medio,bajo,si,7,51,medio,si,1,bajo,medio,publico,positivo,4,no,posgrado,cercano,hombre,63
23,66,bajo,bajo,no,8,94,bajo,si,1,medio,elevado,privado,neutral,3,no,posgrado,moderado,hombre,64
27,94,medio,bajo,si,7,57,medio,si,1,medio,bajo,privado,neutral,1,no,preparatoria,cercano,hombre,71
16,81,medio,elevado,si,6,79,medio,si,2,bajo,elevado,publico,positivo,3,no,universidad,moderado,mujer,68
19,97,medio,bajo,no,6,94,medio,si,2,elevado,medio,publico,neutral,4,no,posgrado,cercano,hombre,72
20,92,medio,elevado,si,4,61,medio,si,2,elevado,medio,publico,neutral,4,no,universidad,cercano,hombre,71
15,88,bajo,bajo,si,8,71,medio,no,1,bajo,bajo,privado,positivo,2,no,posgrado,moderado,hombre,64
24,60,elevado,bajo,si,5,69,medio,si,1,medio,elevado,publico,neutral,5,no,preparatoria,moderado,hombre,64
19,77,elevado,medio,si,6,54,bajo,si,3,elevado,medio,privado,negativo,2,no,universidad,moderado,hombre,66
23,68,medio,elevado,si,7,71,elevado,si,3,medio,,publico,positivo,3,no,preparatoria,moderado,mujer,68
15,96,elevado,medio,no,7,74,medio,si,2,bajo,bajo,privado,positivo,2,no,preparatoria,lejano,hombre,68
17,67,elevado,medio,si,10,51,medio,si,3,bajo,medio,publico,positivo,5,no,preparatoria,cercano,hombre,65
24,71,medio,bajo,si,5,74,medio,si,1,medio,bajo,privado,positivo,3,no,preparatoria,cercano,hombre,67
18,81,medio,bajo,si,10,55,bajo,si,3,bajo,medio,publico,negativo,2,no,preparatoria,cercano,hombre,64
30,71,elevado,medio,si,9,95,elevado,no,1,medio,bajo,publico,neutral,4,no,universidad,cercano,hombre,70
18,68,medio,elevado,si,8,83,bajo,si,1,bajo,medio,publico,positivo,2,no,universidad,cercano,hombre,65
21,84,medio,bajo,no,9,53,bajo,si,2,medio,elevado,publico,negativo,3,no,preparatoria,moderado,mujer,65
26,64,elevado,medio,no,8,91,elevado,si,1,medio,bajo,publico,positivo,4,no,preparatoria,cercano,hombre,68
11,62,medio,elevado,si,4,68,medio,si,2,elevado,medio,publico,negativo,3,no,preparatoria,moderado,hombre,61
9,75,elevado,bajo,no,8,61,elevado,si,3,medio,,publico,neutral,3,no,preparatoria,cercano,hombre,63
11,89,medio,bajo,si,5,63,medio,si,0,medio,bajo,publico,neutral,2,no,universidad,cercano,mujer,65
28,82,medio,bajo,si,6,80,medio,si,1,bajo,medio,privado,neutral,5,no,preparatoria,lejano,mujer,69
17,77,medio,bajo,no,7,54,bajo,si,1,bajo,elevado,publico,positivo,2,no,universidad,cercano,hombre,64
35,83,medio,bajo,no,6,53,medio,si,1,bajo,medio,privado,neutral,2,no,preparatoria,cercano,mujer,69
17,75,elevado,medio,si,8,81,bajo,si,3,elevado,medio,publico,neutral,3,si,posgrado,cercano,hombre,67
21,97,medio,elevado,si,7,99,elevado,si,1,medio,elevado,publico,neutral,1,no,posgrado,moderado,hombre,74
29,62,elevado,medio,si,8,74,medio,si,1,bajo,medio,privado,negativo,3,si,universidad,cercano,hombre,66
32,87,medio,elevado,si,7,71,medio,si,0,elevado,bajo,publico,neutral,4,si,universidad,cercano,hombre,72
32,96,medio,bajo,si,7,97,bajo,si,1,bajo,medio,publico,neutral,5,no,universidad,moderado,hombre,73
27,92,elevado,medio,no,6,62,elevado,si,0,medio,elevado,publico,positivo,4,no,universidad,cercano,hombre,73
26,67,bajo,medio,si,5,62,elevado,si,0,medio,bajo,publico,negativo,2,no,preparatoria,moderado,hombre,63
24,72,elevado,medio,si,7,95,medio,si,3,bajo,medio,publico,negativo,2,no,posgrado,cercano,hombre,69
25,89,bajo,bajo,si,6,82,elevado,si,2,bajo,medio,publico,neutral,6,no,posgrado,cercano,hombre,71
17,63,elevado,medio,no,9,53,elevado,si,1,bajo,elevado,publico,neutral,4,no,universidad,moderado,hombre,63
15,92,medio,elevado,si,5,84,medio,si,0,elevado,bajo,publico,positivo,5,no,preparatoria,moderado,mujer,69
20,89,elevado,elevado,si,10,91,bajo,si,3,medio,bajo,privado,neutral,3,no,universidad,moderado,hombre,72
19,89,elevado,bajo,si,7,64,medio,si,2,bajo,medio,publico,positivo,4,si,posgrado,moderado,mujer,68
17,64,bajo,elevado,no,7,69,medio,si,1,medio,bajo,publico,negativo,3,no,preparatoria,cercano,mujer,62
24,89,bajo,elevado,si,6,60,medio,si,1,bajo,medio,privado,neutral,2,no,preparatoria,cercano,hombre,68
26,87,medio,bajo,si,8,82,elevado,si,1,bajo,medio,publico,negativo,2,no,posgrado,cercano,hombre,71
21,93,medio,bajo,si,7,83,bajo,no,1,elevado,elevado,publico,neutral,3,si,preparatoria,moderado,hombre,67
29,62,bajo,elevado,si,7,53,elevado,si,0,bajo,medio,privado,positivo,3,no,universidad,moderado,mujer,65
13,61,bajo,medio,si,8,84,elevado,no,1,medio,elevado,publico,neutral,3,si,posgrado,lejano,hombre,60
19,75,medio,elevado,si,8,83,elevado,si,2,elevado,medio,publico,neutral,2,no,preparatoria,cercano,hombre,68
16,66,bajo,medio,si,9,52,medio,si,1,medio,bajo,publico,negativo,3,si,preparatoria,cercano,hombre,59
9,82,elevado,medio,no,8,78,medio,si,0,elevado,medio,publico,neutral,0,no,,moderado,mujer,64
20,97,elevado,medio,si,6,81,elevado,si,2,bajo,bajo,publico,neutral,3,no,preparatoria,moderado,hombre,71
19,76,elevado,elevado,no,4,72,bajo,si,2,elevado,,publico,neutral,2,no,universidad,moderado,mujer,68
29,94,bajo,medio,si,7,95,medio,no,2,bajo,medio,publico,neutral,3,si,universidad,moderado,hombre,70
24,60,bajo,bajo,no,7,66,medio,si,1,medio,elevado,publico,neutral,4,no,universidad,cercano,mujer,62
14,67,medio,bajo,no,10,53,medio,si,2,elevado,medio,publico,neutral,3,no,universidad,cercano,hombre,62
31,61,elevado,medio,no,7,84,medio,si,2,medio,bajo,privado,neutral,3,no,preparatoria,cercano,hombre,68
27,73,medio,bajo,no,8,80,bajo,si,3,medio,bajo,privado,negativo,3,no,preparatoria,cercano,mujer,68
23,96,medio,bajo,si,8,99,elevado,si,3,bajo,bajo,publico,positivo,4,no,preparatoria,cercano,mujer,74
19,64,bajo,medio,no,8,62,medio,si,0,elevado,medio,publico,positivo,4,si,universidad,cercano,hombre,61
14,84,medio,bajo,si,8,70,medio,si,1,bajo,elevado,publico,neutral,5,no,universidad,cercano,hombre,67
18,78,medio,bajo,no,6,73,medio,si,1,elevado,elevado,publico,positivo,2,no,preparatoria,moderado,mujer,65
27,98,bajo,medio,si,6,93,bajo,no,5,elevado,elevado,publico,positivo,3,no,preparatoria,moderado,mujer,101
31,65,medio,bajo,si,7,71,medio,si,1,bajo,medio,publico,neutral,4,no,preparatoria,moderado,hombre,65
29,68,medio,bajo,no,4,89,medio,si,0,medio,bajo,privado,neutral,4,si,universidad,cercano,hombre,67
17,61,medio,elevado,si,7,58,bajo,si,2,bajo,medio,publico,positivo,3,si,preparatoria,cercano,mujer,61
13,77,medio,bajo,no,6,70,medio,si,3,medio,elevado,publico,neutral,4,si,preparatoria,cercano,hombre,64
21,71,elevado,bajo,no,7,58,elevado,si,1,medio,elevado,publico,positivo,3,si,universidad,lejano,mujer,64
9,95,medio,bajo,si,7,97,medio,si,1,bajo,bajo,publico,neutral,2,no,universidad,cercano,hombre,67
22,84,medio,bajo,si,5,59,medio,si,0,elevado,elevado,privado,positivo,3,no,universidad,cercano,mujer,69
19,85,elevado,medio,si,9,71,bajo,si,1,medio,elevado,publico,positivo,2,no,posgrado,moderado,mujer,69
17,81,elevado,medio,no,7,54,medio,si,4,bajo,medio,publico,positivo,3,no,preparatoria,cercano,mujer,67
10,64,medio,elevado,no,8,96,medio,si,1,medio,bajo,publico,neutral,3,no,preparatoria,moderado,hombre,62
23,78,bajo,elevado,no,7,81,medio,si,0,bajo,medio,privado,neutral,1,no,preparatoria,cercano,hombre,66
17,100,elevado,medio,no,8,98,bajo,si,0,medio,elevado,publico,positivo,4,no,universidad,cercano,hombre,72
13,93,medio,bajo,si,5,52,bajo,si,2,medio,bajo,publico,positivo,3,no,universidad,cercano,mujer,67
3,96,elevado,elevado,si,9,59,medio,si,2,bajo,medio,publico,negativo,3,no,universidad,moderado,mujer,66
20,93,bajo,bajo,si,8,69,medio,si,2,bajo,medio,publico,neutral,4,no,preparatoria,moderado,hombre,67
31,64,elevado,bajo,si,7,81,bajo,si,1,medio,bajo,publico,positivo,4,no,preparatoria,cercano,mujer,67
30,69,medio,bajo,si,7,66,medio,si,0,medio,bajo,publico,positivo,4,no,posgrado,cercano,mujer,68
17,60,elevado,medio,si,9,86,medio,si,0,bajo,elevado,publico,positivo,2,no,preparatoria,cercano,hombre,63
16,72,medio,elevado,no,6,58,bajo,si,1,medio,bajo,publico,negativo,2,no,preparatoria,lejano,hombre,62
23,64,elevado,medio,si,5,80,bajo,si,3,medio,elevado,publico,negativo,2,si,universidad,moderado,mujer,65
14,79,medio,bajo,si,6,70,medio,si,1,bajo,medio,publico,positivo,6,no,universidad,moderado,hombre,65
22,87,medio,elevado,si,7,75,medio,si,0,medio,elevado,publico,positivo,2,si,universidad,cercano,mujer,70
25,95,bajo,medio,no,7,78,medio,si,7,bajo,medio,publico,positivo,4,no,preparatoria,cercano,hombre,73
27,90,elevado,medio,si,9,53,medio,si,1,medio,elevado,publico,positivo,2,no,posgrado,cercano,mujer,73
19,98,medio,bajo,si,6,96,medio,no,2,bajo,medio,privado,negativo,2,no,preparatoria,moderado,hombre,68
19,62,medio,bajo,no,6,89,elevado,si,3,medio,bajo,publico,positivo,1,no,preparatoria,moderado,hombre,63
15,60,medio,bajo,si,5,72,elevado,si,2,elevado,elevado,publico,positivo,2,no,preparatoria,cercano,hombre,62
15,86,elevado,medio,si,8,77,medio,si,0,medio,bajo,publico,positivo,3,no,posgrado,cercano,hombre,69
19,72,medio,elevado,no,5,52,medio,si,2,medio,bajo,publico,neutral,3,no,posgrado,cercano,hombre,66
22,70,medio,elevado,si,8,75,elevado,si,0,medio,bajo,privado,positivo,3,no,posgrado,cercano,hombre,68
25,73,elevado,medio,si,6,71,bajo,si,0,bajo,medio,privado,positivo,3,no,universidad,lejano,mujer,67
15,71,elevado,elevado,si,6,69,bajo,si,2,bajo,elevado,privado,negativo,4,no,universidad,cercano,mujer,65
29,80,bajo,medio,si,10,91,elevado,no,1,elevado,medio,publico,positivo,3,no,universidad,moderado,hombre,70
18,78,bajo,medio,si,9,59,elevado,no,0,elevado,elevado,privado,positivo,1,no,preparatoria,moderado,mujer,64
20,80,bajo,bajo,si,7,59,elevado,si,2,medio,elevado,privado,neutral,3,no,preparatoria,moderado,hombre,65
16,87,medio,bajo,no,5,76,elevado,si,1,bajo,elevado,privado,neutral,2,no,posgrado,lejano,mujer,67
5,75,medio,bajo,si,10,84,medio,si,0,elevado,medio,privado,neutral,4,no,posgrado,moderado,mujer,62
25,70,medio,bajo,si,7,51,elevado,si,3,bajo,medio,publico,positivo,4,no,preparatoria,moderado,hombre,66
24,67,elevado,elevado,si,7,77,bajo,si,0,elevado,medio,publico,positivo,2,no,universidad,cercano,mujer,68
18,74,medio,bajo,no,8,65,elevado,si,0,medio,elevado,publico,positivo,4,no,universidad,moderado,mujer,64
20,90,elevado,bajo,no,4,88,medio,si,3,bajo,medio,publico,negativo,3,no,preparatoria,moderado,hombre,69
23,90,medio,bajo,si,6,73,bajo,no,1,elevado,medio,privado,positivo,2,no,preparatoria,cercano,mujer,69
11,87,medio,bajo,si,7,92,medio,si,1,medio,bajo,publico,positivo,5,no,preparatoria,moderado,mujer,67
17,69,medio,bajo,si,7,70,bajo,si,0,bajo,elevado,publico,neutral,3,si,universidad,moderado,hombre,61
25,84,elevado,medio,si,5,91,bajo,si,1,medio,bajo,publico,positivo,4,si,posgrado,moderado,mujer,70
12,83,bajo,medio,si,7,86,bajo,si,1,elevado,medio,publico,negativo,4,no,universidad,cercano,mujer,65
22,79,medio,bajo,si,7,91,bajo,si,0,bajo,medio,publico,positivo,4,si,universidad,moderado,hombre,66
12,82,bajo,medio,si,10,91,medio,si,3,bajo,medio,publico,negativo,3,no,posgrado,cercano,hombre,66
23,80,medio,elevado,si,9,74,medio,si,4,medio,bajo,publico,negativo,3,no,preparatoria,moderado,hombre,69
20,83,medio,bajo,si,7,68,elevado,si,1,medio,bajo,publico,positivo,1,no,preparatoria,cercano,mujer,67
10,89,elevado,elevado,si,7,88,medio,si,2,elevado,medio,privado,positivo,2,no,posgrado,cercano,mujer,71
27,64,elevado,elevado,si,9,68,elevado,si,1,bajo,elevado,privado,neutral,4,no,preparatoria,cercano,hombre,68
16,90,medio,bajo,no,7,54,elevado,no,2,medio,bajo,publico,positivo,3,no,preparatoria,cercano,mujer,67
15,65,elevado,medio,no,5,93,bajo,si,2,bajo,medio,publico,neutral,4,si,preparatoria,cercano,mujer,63
21,63,medio,bajo,no,10,70,bajo,si,1,elevado,elevado,privado,positivo,2,no,universidad,cercano,mujer,64
27,99,elevado,medio,si,6,57,medio,si,3,bajo,medio,publico,neutral,3,no,universidad,moderado,hombre,73
14,98,medio,bajo,si,10,82,elevado,si,1,bajo,medio,privado,positivo,3,no,preparatoria,moderado,hombre,69
20,62,elevado,bajo,no,8,94,elevado,si,1,medio,bajo,publico,positivo,3,no,preparatoria,cercano,mujer,65
23,78,elevado,bajo,si,6,93,medio,si,0,medio,elevado,privado,positivo,5,no,posgrado,cercano,hombre,70
24,67,elevado,medio,si,4,78,bajo,si,1,bajo,elevado,publico,positivo,2,no,preparatoria,cercano,mujer,67
21,79,medio,bajo,si,8,54,elevado,si,3,bajo,medio,publico,positivo,3,no,posgrado,moderado,mujer,67
18,93,medio,elevado,si,5,85,medio,si,0,bajo,medio,publico,positivo,3,no,preparatoria,cercano,hombre,70
15,98,elevado,bajo,no,8,80,bajo,no,2,elevado,elevado,publico,negativo,2,no,posgrado,cercano,mujer,69
21,85,elevado,medio,no,10,61,elevado,si,2,medio,bajo,publico,neutral,2,si,preparatoria,cercano,hombre,68
14,74,medio,elevado,no,5,95,elevado,si,1,bajo,elevado,publico,positivo,3,si,universidad,cercano,hombre,66
2,84,bajo,elevado,no,8,54,bajo,si,3,bajo,bajo,publico,positivo,4,no,,cercano,hombre,62
23,72,medio,bajo,si,6,69,bajo,si,2,elevado,medio,publico,positivo,4,no,preparatoria,cercano,hombre,67
25,96,medio,bajo,si,9,55,elevado,si,2,medio,elevado,publico,neutral,4,no,preparatoria,moderado,hombre,71
6,95,elevado,medio,si,7,96,medio,si,4,bajo,medio,publico,neutral,2,no,preparatoria,moderado,mujer,68
14,82,elevado,medio,si,7,52,elevado,si,3,bajo,medio,publico,negativo,2,no,preparatoria,cercano,mujer,66
24,73,bajo,medio,si,9,71,elevado,si,0,bajo,medio,publico,neutral,3,no,preparatoria,moderado,hombre,64
32,72,elevado,medio,si,8,93,bajo,si,1,bajo,medio,privado,neutral,4,no,posgrado,cercano,mujer,71
20,61,bajo,bajo,si,6,63,medio,si,1,medio,elevado,publico,positivo,4,no,universidad,lejano,hombre,61
16,93,medio,elevado,no,10,55,medio,no,2,bajo,medio,publico,neutral,2,no,universidad,cercano,hombre,67
19,78,medio,bajo,si,5,56,bajo,si,3,elevado,medio,publico,neutral,4,no,universidad,moderado,mujer,65
28,73,elevado,medio,si,7,70,bajo,no,0,bajo,medio,privado,negativo,6,no,universidad,moderado,mujer,66
16,79,elevado,elevado,si,6,71,medio,si,2,bajo,elevado,publico,neutral,4,no,preparatoria,cercano,mujer,68
15,93,medio,bajo,no,5,86,medio,si,0,bajo,medio,publico,neutral,2,no,universidad,lejano,hombre,66
17,65,medio,bajo,no,5,62,medio,si,2,medio,bajo,publico,positivo,4,no,preparatoria,cercano,mujer,63
14,94,bajo,bajo,si,7,85,bajo,si,1,elevado,medio,publico,neutral,3,no,preparatoria,moderado,mujer,66
21,96,medio,elevado,no,8,100,medio,si,1,elevado,medio,privado,positivo,2,no,universidad,cercano,mujer,73
30,98,medio,bajo,si,9,93,medio,si,1,bajo,bajo,privado,positivo,3,no,preparatoria,cercano,hombre,88
22,76,medio,bajo,no,9,82,elevado,si,0,medio,elevado,privado,neutral,4,no,preparatoria,cercano,hombre,67
18,69,elevado,elevado,si,7,97,medio,si,2,medio,bajo,publico,positivo,2,no,universidad,cercano,mujer,69
18,75,medio,bajo,si,6,100,elevado,si,2,bajo,medio,publico,positivo,3,no,preparatoria,cercano,mujer,67
11,73,medio,elevado,si,9,79,medio,si,1,bajo,elevado,publico,neutral,2,no,preparatoria,cercano,hombre,64
25,67,medio,elevado,si,6,64,medio,no,0,bajo,medio,publico,neutral,2,no,preparatoria,moderado,hombre,64
20,84,bajo,medio,no,5,96,bajo,si,1,bajo,medio,publico,negativo,2,no,preparatoria,cercano,hombre,65
19,79,medio,bajo,no,8,92,elevado,si,1,medio,elevado,publico,positivo,2,no,preparatoria,cercano,hombre,68
39,95,medio,elevado,si,9,54,elevado,si,2,medio,bajo,privado,positivo,3,no,preparatoria,moderado,hombre,77
22,61,medio,bajo,si,6,97,elevado,si,0,bajo,elevado,publico,negativo,2,si,preparatoria,cercano,hombre,63
15,86,elevado,elevado,si,10,68,medio,si,0,elevado,medio,publico,neutral,5,no,universidad,cercano,hombre,69
17,91,medio,bajo,si,8,66,medio,si,3,medio,bajo,publico,positivo,2,no,universidad,cercano,hombre,69
27,90,medio,bajo,no,8,67,medio,si,2,medio,bajo,publico,negativo,3,no,posgrado,cercano,hombre,70
21,95,elevado,medio,si,6,66,elevado,si,1,medio,elevado,publico,positivo,4,no,universidad,cercano,hombre,73
11,89,medio,bajo,si,9,76,medio,si,1,medio,elevado,publico,neutral,3,no,posgrado,lejano,hombre,66
26,97,medio,bajo,no,5,79,elevado,si,2,bajo,bajo,privado,positivo,3,no,preparatoria,cercano,mujer,71
16,73,medio,bajo,si,6,71,medio,si,2,elevado,elevado,publico,positivo,5,no,universidad,cercano,hombre,66
31,80,medio,bajo,si,6,71,elevado,si,2,bajo,elevado,publico,neutral,3,no,preparatoria,cercano,mujer,71
26,61,medio,bajo,si,5,87,medio,si,3,elevado,elevado,publico,positivo,2,si,preparatoria,cercano,hombre,66
17,60,medio,elevado,si,8,50,elevado,si,0,bajo,elevado,publico,positivo,4,no,preparatoria,cercano,mujer,63
28,70,elevado,elevado,si,8,97,medio,si,5,bajo,bajo,publico,negativo,5,si,preparatoria,cercano,hombre,70
20,64,elevado,medio,si,8,86,medio,si,1,medio,bajo,publico,neutral,2,no,posgrado,cercano,hombre,66
25,70,medio,bajo,no,7,85,medio,si,1,medio,bajo,publico,negativo,4,no,preparatoria,cercano,hombre,66
23,67,medio,bajo,no,8,71,elevado,si,2,medio,bajo,publico,neutral,4,no,universidad,moderado,mujer,66
15,61,medio,bajo,no,7,98,medio,si,1,medio,bajo,publico,neutral,3,no,preparatoria,cercano,hombre,62
16,96,medio,bajo,no,6,50,elevado,si,1,medio,elevado,publico,positivo,3,no,universidad,cercano,hombre,69
26,60,bajo,elevado,si,6,54,bajo,si,1,bajo,medio,privado,positivo,1,no,posgrado,moderado,hombre,63
18,89,medio,bajo,si,4,90,bajo,si,1,elevado,medio,publico,positivo,2,si,posgrado,cercano,mujer,68
18,66,medio,elevado,no,9,87,medio,si,1,medio,bajo,privado,positivo,3,no,preparatoria,moderado,hombre,64
14,96,bajo,elevado,si,9,64,elevado,si,2,bajo,elevado,publico,neutral,3,no,posgrado,moderado,hombre,69
23,96,bajo,medio,si,10,80,bajo,si,3,bajo,elevado,publico,positivo,3,no,preparatoria,cercano,hombre,71
32,86,medio,bajo,si,6,77,medio,no,2,medio,bajo,privado,negativo,4,no,preparatoria,cercano,hombre,71
14,87,medio,bajo,no,6,76,medio,si,1,bajo,medio,privado,positivo,4,no,universidad,lejano,mujer,66
20,60,medio,bajo,si,4,80,bajo,si,2,elevado,medio,privado,positivo,3,si,universidad,moderado,hombre,63
28,99,bajo,medio,si,8,100,bajo,si,0,medio,bajo,publico,positivo,2,no,preparatoria,lejano,hombre,72
20,95,medio,bajo,si,8,99,bajo,no,1,bajo,medio,privado,neutral,3,no,universidad,cercano,mujer,70
23,96,medio,bajo,no,9,99,medio,si,0,elevado,medio,privado,neutral,2,no,universidad,cercano,mujer,71
14,86,bajo,bajo,si,6,77,medio,si,3,elevado,medio,privado,neutral,3,no,preparatoria,lejano,hombre,65
23,74,medio,bajo,si,8,66,bajo,si,0,elevado,medio,publico,negativo,4,no,posgrado,cercano,mujer,65
19,96,bajo,medio,no,6,78,elevado,si,1,bajo,bajo,publico,positivo,2,no,preparatoria,lejano,hombre,67
26,72,elevado,medio,no,9,81,elevado,si,0,medio,elevado,publico,neutral,3,no,preparatoria,cercano,hombre,68
27,83,medio,bajo,si,8,66,medio,si,3,medio,bajo,publico,positivo,4,no,universidad,lejano,mujer,70
36,64,medio,bajo,si,5,82,medio,si,2,medio,elevado,privado,positivo,2,no,preparatoria,cercano,mujer,70
23,97,bajo,elevado,si,7,81,bajo,si,2,medio,elevado,publico,neutral,3,no,preparatoria,cercano,hombre,72
22,66,medio,elevado,no,4,95,medio,si,1,bajo,bajo,publico,neutral,5,no,universidad,moderado,hombre,65
21,69,medio,bajo,si,5,62,elevado,si,2,bajo,medio,publico,positivo,3,no,preparatoria,cercano,hombre,65
18,82,elevado,medio,si,5,85,elevado,si,3,medio,elevado,privado,neutral,4,no,posgrado,cercano,hombre,71
22,91,elevado,elevado,si,6,73,bajo,si,3,elevado,medio,publico,positivo,4,no,posgrado,cercano,hombre,74
18,85,bajo,medio,no,7,56,bajo,si,0,bajo,medio,privado,positivo,4,no,preparatoria,moderado,hombre,64
21,69,medio,bajo,no,7,66,elevado,si,1,medio,bajo,privado,neutral,4,no,preparatoria,lejano,mujer,64
28,60,medio,elevado,si,7,53,bajo,si,3,bajo,medio,privado,neutral,3,no,preparatoria,cercano,mujer,65
14,90,bajo,medio,si,7,66,medio,si,1,medio,bajo,publico,neutral,5,no,universidad,cercano,hombre,67
27,99,elevado,medio,no,7,53,bajo,si,2,bajo,elevado,publico,neutral,3,no,universidad,cercano,hombre,73
