Hospital,Alternative Name,Address,Address 1,Address 2,City,State,Zip,Hospital Website,Latitude,Longitude,Caring System,Funding,Type,Affiliation,Beds,Regular Beds,NICU Beds,Opened,Pediatric Trauma Level,NICU Level,Ranked Specialties,Wikipedia Source
Children's Hospital of Orange County,,"1201 W La Veta Ave, Orange, CA 92868",1201 W La Veta Ave,, Orange,CA,92868,https://www.choc.org/,33.7809877,-117.8657581,,,,,316,,,1964,Level II Pediatric,3,7,https://en.wikipedia.org/wiki/Cook_Children%27s_Medical_Center
Children's Hospital of Philadelphia,,"3401 Civic Center Blvd, Philadelphia, PA 19104",3401 Civic Center Blvd,, Philadelphia,PA,19104,https://www.chop.edu/,39.9487265,-75.1943904,,,,,541,,,,Level I Pediatric,3,10,https://en.wikipedia.org/wiki/Cooper_University_Hospital
UPMC Children's Hospital of Pittsburgh,,"4401 Penn Ave, Pittsburgh, PA 15224",4401 Penn Ave,, Pittsburgh,PA,15224,https://www.chp.edu/contact-us,40.4675656,-79.9531074,,,,,302,,,,Level I Pediatric,4,10,https://en.wikipedia.org/wiki/Covenant_Children%27s_Hospital
Children's Hospital of Richmond at VCU,,"1000 East Broad Street, Richmond,VA 23219",1000 East Broad Street,, Richmond,A ,23219,https://www.chrichmond.org/,37.5404033,-77.4320979,,,,,102,,,,Level I Pediatric,,4,https://en.wikipedia.org/wiki/Dartmouth%E2%80%93Hitchcock_Medical_Center
Children's Hospital of San Antonio,,"333 N Santa Rosa St, San Antonio, TX 78207",333 N Santa Rosa St,, San Antonio,TX,78207,https://www.christushealth.org/locations/childrens-hospital,29.4281027,-98.4982673,,,,,198,,,,Level I Pediatric,,,https://en.wikipedia.org/wiki/Dayton_Children%27s_Hospital
Cincinnati Children's Hospital Medical Center,,"3333 Burnet Ave, Cincinnati, OH 45229",3333 Burnet Ave,, Cincinnati,OH,45229,https://www.cincinnatichildrens.org/?utm_source=local&utm_medium=organic&utm_campaign=profile_listing&utm_content=website,39.1403453,-84.5017598,,,,,634,,,,Level I Pediatric,4,10,https://en.wikipedia.org/wiki/Dell_Children%27s_Medical_Center_of_Central_Texas
Connecticut Children's Medical Center,,"282 Washington St, Hartford, CT 06106",282 Washington St,, Hartford,CT,6106,https://www.connecticutchildrens.org/about-us/locations/connecticut-childrens-medical-center/,41.7537027,-72.6816415,,,,,185,,,,Level I Pediatric,4,5,https://en.wikipedia.org/wiki/Doernbecher_Children%27s_Hospital
Cook Children's Healthcare System,,,,,,,,https://www.cookchildrens.org/,,,,,,,391,,,,Level II Pediatric,4,2,https://en.wikipedia.org/wiki/Driscoll_Children%27s_Hospital
Children's Regional Hospital at Cooper,,"1 Cooper Plaza, Camden, NJ 08103",1 Cooper Plaza,, Camden,NJ,8103,https://www.cooperhealth.org/services/childrens-regional-hospital,39.9410298,-75.1161353,,,,,61,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Duke_University_Health_System
Driscoll Children's Hospital,,"3533 S Alameda St, Corpus Christi, TX 78411",3533 S Alameda St,, Corpus Christi,TX,78411,https://www.driscollchildrens.org/,27.7487204,-97.3861018,,,,,191,,,,,4,,https://en.wikipedia.org/wiki/East_Tennessee_Children%27s_Hospital
Duke Children's Hospital,,"2301 Erwin Rd, Durham, NC 27710 ",2301 Erwin Rd,, Durham,NC,27710,https://www.dukehealth.org/hospitals/duke-childrens-hospital,36.0071694,-78.9385088,,,,,151,,,,,4,9,https://en.wikipedia.org/wiki/El_Paso_Children%27s_Hospital
Edinburg Children's Hospital,,"1102 W Trenton Rd, Edinburg, TX 78539",1102 W Trenton Rd,, Edinburg,TX,78539,https://www.edinburgchildrenshospital.com,26.2614185,-98.1819532,,,,,107,,,,,3,,https://en.wikipedia.org/wiki/Essentia_Health
Essentia Health-St. Mary’s Children’s Hospital,,"400 E 3rd St, Duluth, MN 55805",400 E 3rd St,, Duluth,MN,55805,https://www.essentiahealth.org/find-facility/profile/essentia-health-st-marys-childrens-hospital-duluth/,46.7927656,-92.0956836,,,,,,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Georgia_Regents_Medical_Center
East Tennessee Children's Hospital,,"2018 W. Clinch Ave, Knoxville, TN 37916",2018 W. Clinch Ave,, Knoxville,TN,37916,https://www.etch.com/,35.9559893,-83.9379132,,,,,152,,,,,3,,https://en.wikipedia.org/wiki/Gillette_Children%27s_Specialty_Healthcare
Janet Weis Children's Hospital,,"100 N Academy Ave, Danville, PA 17822",100 N Academy Ave,, Danville,PA,17822,https://www.geisinger.org/patient-care/find-a-location/janet-weis-childrens-hospital,40.9677777,-76.6053472,,,,,91,,,,Level II Pediatric,4,,"https://en.wikipedia.org/wiki/Golisano_Children%27s_Hospital_(Rochester,_NY)"
Gillette Children's Specialty Healthcare,,"640 Jackson St, St Paul, MN 55101",640 Jackson St,, St Paul,MN,55101,https://www.gillettechildrens.org/,44.9571423,-93.0930815,,,,,60,,,,Level I Pediatric,,,https://en.wikipedia.org/wiki/Goryeb_Children%27s_Hospital
Joseph M. Sanzari Children's Hospital,,"30 Prospect Ave, Hackensack, NJ 07601",30 Prospect Ave,, Hackensack,NJ,7601,https://www.hackensackmeridianhealth.org/en/Locations/Joseph-M-Sanzari-Children-Hospital,40.88264,-74.0562204,,,,,105,,,,,3,1,https://en.wikipedia.org/wiki/Hasbro_Children%27s_Hospital
K. Hovnanian Children's Hospital,,"1945 NJ-33, Neptune City, NJ 07753",1945 NJ-33,, Neptune City,NJ,7753,https://www.hackensackmeridianhealth.org/en/Locations/K-Hovnanian-Children-Hospital,40.2091347,-74.041212,,,,,88,,,,Level II Pediatric,3,1,https://en.wikipedia.org/wiki/Hassenfeld_Children%27s_Hospital
Kapi'olani Medical Center for Women & Children,,"1319 Punahou St, Honolulu, HI 96826",1319 Punahou St,, Honolulu,HI,96826,https://www.hawaiipacifichealth.org/kapiolani/,21.2998428,-157.8334591,,,,,144,,,,,3,,https://en.wikipedia.org/wiki/Helen_DeVos_Children%27s_Hospital
The Children's Hospital at HCMC,,"730 S 8th St, Minneapolis, MN 55415",730 S 8th St,, Minneapolis,MN,55415,https://www.hennepinhealthcare.org/specialty/pediatrics/pediatric-inpatient-unit/,44.9718453,-93.262174,,,,,,,,,Level I Pediatric,3,,https://en.wikipedia.org/wiki/Hennepin_County_Medical_Center
Huntsville Hospital for Women and Children,,"245 Governors Dr SW, Huntsville, AL 35801",245 Governors Dr SW,, Huntsville,AL,35801,https://www.hhwomenandchildren.org/,34.7194775,-86.5836941,,,,,51,,,,,,,https://en.wikipedia.org/wiki/Huntsville_Hospital_System
Johns Hopkins All Children's Hospital,,"501 6th Ave S, St. Petersburg, FL 33701",501 6th Ave S,, St. Petersburg,FL,33701,https://www.hopkinsallchildrens.org/,27.7647153,-82.6401917,,,,,259,,,,Level II Pediatric,3,8,https://en.wikipedia.org/wiki/Inova_Health_System
Johns Hopkins Children's Center,," 1800 Orleans St, Baltimore, MD 21287", 1800 Orleans St,, Baltimore,MD,21287,https://www.hopkinsmedicine.org/johns-hopkins-childrens-center/,39.295691,-76.592065,,,,,196,,,,Level I Pediatric,4,10,https://en.wikipedia.org/wiki/Janet_Weis_Children%27s_Hospital
Puerto Rico Children's Hospital,,"Carretera #2 Km.11.7, Bayamón, 00959, Puerto Rico",Carretera #2 Km.11.7,, Bayamón,Puerto Rico,959,https://www.hrc.org/resources/healthcare-facilities/bayamon-medical-center,18.3968124,-66.1627554,,,,,150,,,,,3,,https://en.wikipedia.org/wiki/John_R._Oishei_Children%E2%80%99s_Hospital
St. John's Children's Hospital,,"800 E Carpenter St, Springfield, IL 62769",800 E Carpenter St,, Springfield,IL,62769,https://www.hshs.org/stjohnschildrenshospital,39.8046865,-89.6459353,,,,,78,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/John_Sealy_Hospital
Hurley Children's Hospital,," 300 E 1st St, Flint, MI 48502", 300 E 1st St,, Flint,MI,48502,https://www.hurleymc.com/locations/hurley-childrens-clinic/,43.0168969,-83.6880981,,,,,42,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Johns_Hopkins_All_Children%27s_Hospital
INOVA Children's Hospital,," 3300 Gallows Rd, Falls Church, VA 22042", 3300 Gallows Rd,, Falls Church,VA,22042,https://www.inovachildrens.org/,38.8568747,-77.2275698,,,,,241,,,,,4,1,https://en.wikipedia.org/wiki/Johns_Hopkins_Children%E2%80%99s_Center
Joe DiMaggio Children’s Hospital,,"1005 Joe DiMaggio Dr, Hollywood, FL 33021",1005 Joe DiMaggio Dr,, Hollywood,FL,33021,https://www.jdch.com,26.0192685,-80.1782649,,,,,215,,,,Level I Pediatric,3,2,https://en.wikipedia.org/wiki/Joseph_M._Sanzari_Children%E2%80%99s_Hospital
Kennedy Krieger Institute,,,,,,,,https://www.kennedykrieger.org/,#N/A,#N/A,,,,,,,,,,,,https://en.wikipedia.org/wiki/K._Hovnanian_Children%27s_Hospital
Le Bonheur Children's Medical Center,,"848 Adams Avenue, Memphis, TN 38103",848 Adams Avenue,, Memphis,TN,38103,https://www.lebonheur.org/,35.1446619,-90.0318309,,,,,250,,,,Level I Pediatric,4,7,https://en.wikipedia.org/wiki/Kapi%27olani_Medical_Center_for_Women_%26_Children
Golisano Children's Hospital of Southwest Florida,,"9981 S Healthpark Dr, Fort Myers, FL 33908",9981 S Healthpark Dr,, Fort Myers,FL,33908,https://www.leehealth.org/find-a-location/golisano-children-s-hospital-of-southwest-florida,26.5073603,-81.9128638,,,,,128,,,,,3,,https://en.wikipedia.org/wiki/Kennedy_Krieger_Institute
Randall Children's Hospital at Legacy Emanuel,," 2801 N Gantenbein Ave, Portland, OR 97227", 2801 N Gantenbein Ave,, Portland,OR,97227,https://www.legacyhealth.org/children,45.5437285,-122.6694917,,,,,181,,,,Level I Pediatric,3,,https://en.wikipedia.org/wiki/La_Rabida_Children%27s_Hospital
The Herman & Walter Samuelson Children's Hospital at Sinai,,"5051 Greenspring Ave, Baltimore, MD 21209",5051 Greenspring Ave,, Baltimore,MD,21209,https://www.lifebridgehealth.org/ChildrensHospital/TheHermanWalterSamuelsonChildrensHospitalatSinai2.aspx,39.3537098,-76.6592683,,,,,22,,,,,3,,https://en.wikipedia.org/wiki/Le_Bonheur_Children%27s_Hospital
Bradley Hospital (Children's Psychiatric),,"1011 Veterans Memorial Pkwy, East Providence, RI 02915",1011 Veterans Memorial Pkwy,, East Providence,RI,2915,https://www.lifespan.org/centers-services/child-adolescent-inpatient-program,41.7921516,-71.3679174,,,,,16,,,,,,,https://en.wikipedia.org/wiki/Lehigh_Valley_Hospital%E2%80%93Cedar_Crest
Hasbro Children's Hospital,,"593 Eddy St, Providence, RI 02903",593 Eddy St,, Providence,RI,2903,https://www.lifespan.org/locations/hasbro-childrens-hospital,41.8113335,-71.4089323,,,,,63,,,,Level I Pediatric,,,https://en.wikipedia.org/wiki/Levine_Children%27s_Hospital
Montana Children's Medical Center,,"350 Sunnyview Ln, Kalispell, MT 59901",350 Sunnyview Ln,, Kalispell,MT,59901,https://www.logan.org/children/?u=children,48.2164405,-114.3241825,,,,,20,,,,,,,https://en.wikipedia.org/wiki/Loma_Linda_University_Medical_Center
Ann and Robert H. Lurie Children's Hospital of Chicago,,"225 E Chicago Ave, Chicago, IL 60611",225 E Chicago Ave,, Chicago,IL,60611,https://www.luriechildrens.org/,41.8965812,-87.6202747,,,,,312,,,,Level I Pediatric,3,10,https://en.wikipedia.org/wiki/Lucile_Packard_Children%27s_Hospital
Lehigh Valley Reilly Children’s Hospital,,"1200 S Cedar Crest Blvd, Allentown, PA 18103",1200 S Cedar Crest Blvd,, Allentown,PA,18103,https://www.lvhn.org/lehigh-valley-childrens-hospital,40.5657707,-75.524076,,,,,85,,,,Level II Pediatric,4,,https://en.wikipedia.org/wiki/Lurie_Children%27s_Hospital
Barbara Bush Children's Hospital,,"22 Bramhall St, Portland, ME 04102",22 Bramhall St,, Portland,ME,4102,https://www.mainehealth.org/barbara-bush-childrens-hospital,43.6527157,-70.2767213,,,,,92,,,,,4,,https://en.wikipedia.org/wiki/M_Health_Fairview_University_of_Minnesota_Masonic_Children%27s_Hospital
Maria Fareri Children's Hospital,,"100 Woods Road Macy Suite N100, Valhalla, NY 10595",100 Woods Road Macy Suite N100,, Valhalla,NY,10595,https://www.mariafarerichildrens.org/,41.085128,-73.7772032,,,,,136,,,,Level I Pediatric,4,,https://en.wikipedia.org/wiki/Maria_Fareri_Children%27s_Hospital
Mary Bridge Children's Hospital,,"317 M.L.K. Jr Way, Tacoma, WA 98403",317 M.L.K. Jr Way,, Tacoma,WA,98403,https://www.marybridge.org/,47.2593702,-122.4528457,,,,,75,,,,,,,https://en.wikipedia.org/wiki/Massachusetts_General_Hospital
MassGeneral Hospital for Children,,"55 Fruit St, Boston, MA 02114",55 Fruit St,, Boston,MA,2114,https://www.massgeneral.org/children,42.362919,-71.068747,,,,,100,,,,Level I Pediatric,3,5,https://en.wikipedia.org/wiki/Mayo_Clinic
Mayo Clinic – Eugenio Litta Children's Hospital,,"1216 2nd St SW, Rochester, MN 55902",1216 2nd St SW,, Rochester,MN,55902,https://www.mayoclinic.org/patient-visitor-guide/minnesota/campus-buildings-maps/mayo-eugenio-litta-childrens-hospital,44.0210069,-92.4824769,,,,,148,,,,Level I Pediatric,4,8,https://en.wikipedia.org/wiki/Medical_Center_of_Central_Georgia
Mercy Kids Children's Hospital St. Louis,,"615 S New Ballas Rd, St. Louis, MO 63141",615 S New Ballas Rd,, St. Louis,MO,63141,https://www.mercy.net/practice/mercy-childrens-hospital-st-louis/,38.6446539,-90.4464897,,,,,248,,,,,3,,https://en.wikipedia.org/wiki/Memorial_Sloan_Kettering_Cancer_Center
MercyOne Children's Hospital,,"1111 6th Ave, Des Moines, IA 50314",1111 6th Ave,, Des Moines,IA,50314,https://www.mercyone.org/desmoines/find-a-service-or-specialty/childrens-hospital-and-clinics/,41.5986713,-93.6228884,,,,,91,,,,Level II Pediatric,4,,https://en.wikipedia.org/wiki/Mercy_Health_-_St._Vincent_Medical_Center
M Health Fairview Masonic Children's Hospital,,"2450 Riverside Ave, Minneapolis, MN 55454",2450 Riverside Ave,, Minneapolis,MN,55454,https://www.mhealthfairview.org/locations/M-Health-Fairview-University-of-Minnesota-Medical-Center---West-Bank-east,44.9678061,-93.2371084,,,,,212,,,,,4,3,https://en.wikipedia.org/wiki/Miller_Children%27s_Hospital
Miller Children's Hospital,,"2801 Atlantic Ave Second floor of 9940 building, Long Beach, CA 90806",2801 Atlantic Ave,Second floor of 9940 building, Long Beach,CA,90806,https://www.millerchildrenshospitallb.org/,33.8083605,-118.1873236,,,,,155,,,,Level II Pediatric,3,1,https://en.wikipedia.org/wiki/Monmouth_Medical_Center
C.S. Mott Children's Hospital,,"1540 E Hospital Dr, Ann Arbor, MI 48109",1540 E Hospital Dr,, Ann Arbor,MI,48109,https://www.mottchildren.org/,42.2820339,-83.7272882,,,,,244,,,,Level I Pediatric,4,10,https://en.wikipedia.org/wiki/Monroe_Carell_Jr._Children%27s_Hospital_at_Vanderbilt
Kravis Children's Hospital,,"1184 5th Ave, New York, NY 10029",1184 5th Ave,, New York,NY,10029,https://www.mountsinai.org/locations/kravis-childrens,40.7904706,-73.954328,,,,,102,,,,,,4,https://en.wikipedia.org/wiki/Morgan_Stanley_Children%27s_Hospital
Memorial Sloan Kettering Children’s Cancer Center,,"1275 York Ave, New York, NY 10065",1275 York Ave,, New York,NY,10065,https://www.mskcc.org/pediatrics/cancer-care/about,40.7644528,-73.9570196,,,,,,,,,,,1,https://en.wikipedia.org/wiki/Mount_Sinai_Hospital_(Manhattan)
University of Missouri Women's and Children's Hospital,,"404 N Keene St, Columbia, MO 65201",404 N Keene St,, Columbia,MO,65201,https://www.muhealth.org/locations/results?specialty=Children%E2%80%99s%20Health,38.9574815,-92.2883474,,,,,126,,,,,3,,https://en.wikipedia.org/wiki/Mt._Washington_Pediatric_Hospital
Mt. Washington Pediatric Hospital,,"1708 W Rogers Ave, Baltimore, MD 21209",1708 W Rogers Ave,, Baltimore,MD,21209,https://www.mwph.org/,39.3631103,-76.65368,,,,,67,,,,,,,https://en.wikipedia.org/wiki/MUSC_Shawn_Jenkins_Children%27s_Hospital
Nationwide Children's Hospital,,"700 Children's Dr, Columbus, OH 43205",700 Children's Dr,, Columbus,OH,43205,https://www.nationwidechildrens.org/,39.9530001,-82.9794922,,,,,673,,,,Level I Pediatric,3,10,https://en.wikipedia.org/wiki/Nationwide_Children%27s_Hospital
Mercy Health — Children’s Hospital,,"2213 Cherry St, Toledo, OH 43608",2213 Cherry St,, Toledo,OH,43608,https://www.nationwidechildrens.org/family-resources-education/health-wellness-and-safety-resources/covid-19,41.6686798,-83.5414147,,,,,,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Nemours_Alfred_I._duPont_Hospital_for_Children
Nemours Children's Hospital,,"6535 Nemours Pkwy, Orlando, FL 32827",6535 Nemours Pkwy,, Orlando,FL,32827,https://www.nemours.org/,28.3774555,-81.2724598,,,,,92,,,,,,,https://en.wikipedia.org/wiki/Nemours_Children%27s_Hospital
Nemours Alfred I. duPont Hospital for Children,,"1600 Rockland Road, Wilmington, DE 19803",1600 Rockland Road,, Wilmington,DE,19803,https://www.nemours.org/locations/wilmington-ai-dupont-childrens-hospital.html,39.7786551,-75.5563273,,,,,208,,,,Level I Pediatric,4,4,https://en.wikipedia.org/wiki/Newark_Beth_Israel_Medical_Center
Nicklaus Children's Hospital,,"3100 SW 62nd Ave, Miami, FL 33155",3100 SW 62nd Ave,, Miami,FL,33155,https://www.nicklauschildrens.org/,25.7420777,-80.2954548,,,,,281,,,,Level I Pediatric,3,5,https://en.wikipedia.org/wiki/Nicklaus_Children%27s_Hospital
Hemby Children's Hospital,,"200 Hawthorne Ln, Charlotte, NC 28204",200 Hawthorne Ln,, Charlotte,NC,28204,https://www.novanthealth.org/hemby-childrens-hospital.aspx,35.2119651,-80.8238948,,,,,,,,,,4,,https://en.wikipedia.org/wiki/North_Shore_Medical_Center
Komansky Center for Children's Health,,"703 Main St, Paterson, NJ 07503",703 Main St,, Paterson,NJ,7503,https://www.nyp.org/komansky,40.9026896,-74.165466,,,,,103,,,,Level II Pediatric,4,8,https://en.wikipedia.org/wiki/Norton_Children%27s_Hospital
Morgan Stanley Children's Hospital,,"3959 Broadway, New York, NY 10032",3959 Broadway,, New York,NY,10032,https://www.nyp.org/morganstanley,40.8398048,-73.9414011,,,,,193,,,,Level I Pediatric,3,8,https://en.wikipedia.org/wiki/Novant_Health
John R. Oishei Children’s Hospital,," 818 Ellicott St, Buffalo, NY 14203", 818 Ellicott St,, Buffalo,NY,14203,https://www.ochbuffalo.org/,42.9009147,-78.867779,,,,,250,,,,Level I Pediatric,3,,https://en.wikipedia.org/wiki/Ochsner_Medical_Center
Ochsner Hospital for Children,,"1514 Jefferson Hwy, Jefferson, LA 70121",1514 Jefferson Hwy,, Jefferson,LA,70121,https://www.ochsner.org/locations/ochsner-hospital-for-children,29.9617536,-90.1455796,,,,,113,,,,,4,1,https://en.wikipedia.org/wiki/Our_Lady_of_the_Lake_Regional_Medical_Center
Doernbecher Children's Hospital,,"700 SW Campus Dr, Portland, OR 97239",700 SW Campus Dr,, Portland,OR,97239,https://www.ohsu.edu/doernbecher?utm_source=gmb&utm_medium=organic&utm_content=LocationDoernbecher,45.4978355,-122.6860452,,,,,145,,,,Level I Pediatric,3,5,https://en.wikipedia.org/wiki/Penn_State_Children%27s_Hospital
The Children's Hospital of Illinois,,"530 NE Glen Oak Ave, Peoria, IL 61637",530 NE Glen Oak Ave,, Peoria,IL,61637,https://www.osfhealthcare.org/childrens/,40.7019828,-89.5905744,,,,,144,,,,Level I Pediatric,3,1,https://en.wikipedia.org/wiki/Peyton_Manning_Children%27s_Hospital_at_St._Vincent%27s
Palm Beach Children's Hospital,,"901 45th St, West Palm Beach, FL 33407",901 45th St,, West Palm Beach,FL,33407,https://www.palmbeachchildrenshospital.com/,26.7556882,-80.062514,,,,,134,,,,,3,,https://en.wikipedia.org/wiki/Phoenix_Children%27s_Hospital
Penn State Children's Hospital,," 600 University Dr, Hershey, PA 17033", 600 University Dr,, Hershey,PA,17033,https://www.pennstatehealth.org/locations/penn-state-health-childrens-hospital,40.2641274,-76.6736267,,,,,145,,,,Level I Pediatric,4,5,https://en.wikipedia.org/wiki/Primary_Children%27s_Hospital
Toledo Children's Hospital,,"2142 N Cove Blvd, Toledo, OH 43606",2142 N Cove Blvd,, Toledo,OH,43606,https://www.promedica.org/location/promedica-russell-j-ebeid-childrens-hospital,41.6730403,-83.5949906,,,,,99,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Prisma_Health_Richland
The Children's Hospital at Providence,,"3200 Providence Dr, Anchorage, AK 99508",3200 Providence Dr,, Anchorage,AK,99508,https://www.providence.org/locations/ak/alaska-childrens-hospital,61.1866256,-149.8221354,,,,,114,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Rady_Children%27s_Hospital
Covenant Children's Hospital,,"4015 22nd Pl, Lubbock, TX 79410",4015 22nd Pl,, Lubbock,TX,79410,https://www.providence.org/locations/covenant-health/childrens-hospital,33.5738671,-101.9004506,,,,,275,,,,Level II Pediatric,4,,https://en.wikipedia.org/wiki/Rainbow_Babies_%26_Children%27s_Hospital
Providence Memorial Children's Hospital,,"2001 N Oregon St, El Paso, TX 79902",2001 N Oregon St,, El Paso,TX,79902,https://www.providencechildrenshospital.com/locations/detail/providence-children's-hospital1,31.769834,-106.500724,,,,,,,,,,3,,https://en.wikipedia.org/wiki/Randall_Children%27s_Hospital_at_Legacy_Emanuel
Rady Children's Hospital,,"3020 Children's Way, San Diego, CA 82123",3020 Children's Way,, San Diego,CA,82123,https://www.rchsd.org/,32.7977575,-117.151407,,,,,337,,,,Level I Pediatric,4,10,https://en.wikipedia.org/wiki/Ranken_Jordan_Pediatric_Bridge_Hospital
Renown Children's Hospital,,"1155 Mill St, Reno, NV 89502",1155 Mill St,, Reno,NV,89502,https://www.renown.org/locations/renown-childrens-hospital,39.5243718,-119.7957326,,,,,83,,,,,3,,https://en.wikipedia.org/wiki/Riley_Hospital_for_Children
Riley Hospital for Children,,"705 Riley Hospital Dr, Indianapolis, IN 46202",705 Riley Hospital Dr,, Indianapolis,IN,46202,https://www.rileychildrens.org/,39.7775506,-86.179944,,,,,354,,,,Level I Pediatric,4,9,https://en.wikipedia.org/wiki/Rush_University_Medical_Center
Rush University Children's Hospital,,"1620 W Harrison St, Chicago, IL 60612",1620 W Harrison St,, Chicago,IL,60612,https://www.rush.edu/kids,41.874604,-87.6697476,,,,,115,,,,,3,,https://en.wikipedia.org/wiki/Sacred_Heart_Medical_Center_(Spokane)
Bristol Myers Squibb Children's Hospital,," 200 Somerset St, New Brunswick, NJ 08901", 200 Somerset St,, New Brunswick,NJ,8901,https://www.rwjbh.org/childrens-specialized-hospital/,40.494985,-74.4511794,,,,,105,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Saint_Peter%27s_University_Hospital
Children's Specialized Hospital,,,,,,,,https://www.rwjbh.org/childrens-specialized-hospital/,,,,,,,140,,,,,,,https://en.wikipedia.org/wiki/Salah_Foundation_Children%27s_Hospital
Children's Hospital of New Jersey,,"201 Lyons Ave, Newark, NJ 07112",201 Lyons Ave,, Newark,NJ,7112,https://www.rwjbh.org/our-locations/outpatient-rehab-center/center-for-sleep-disorders-at-jersey-city-medica/,40.7097992,-74.2125215,,,,,,,,,,3,,https://en.wikipedia.org/wiki/Seattle_Children%27s
Unterberg Children Hospital,,"300 2nd Ave, Long Branch, NJ 07740",300 2nd Ave,, Long Branch,NJ,7740,https://www.rwjbh.org/unterberg-childrens-hospital-at-monmouth-medical/,40.2953872,-73.9860337,,,,,70,,,,,3,,https://en.wikipedia.org/wiki/Shriners_Hospital_for_Children
The Children's Hospital at Saint Francis,,"6161 S Yale Ave, Tulsa, OK 74136",6161 S Yale Ave,, Tulsa,OK,74136,https://www.saintfrancis.com/location/the-childrens-hospital-at-saint-francis,36.0705401,-95.9182869,,,,,144,,,,,3,,https://en.wikipedia.org/wiki/Shriners_Hospital_for_Children
The Children’s Hospital at Saint Peter's University Hospital,,"254 Easton Ave, New Brunswick, NJ 08901",254 Easton Ave,, New Brunswick,NJ,8901,https://www.saintpetershcs.com/Locations/Childrens-Hospital,40.5009888,-74.4593195,,,,,,,,,,3,1,https://en.wikipedia.org/wiki/Shriners_Hospital_for_Children
Sanford Health Children's Hospital,,"1600 W 22nd St, Sioux Falls, SD 57105",1600 W 22nd St,, Sioux Falls,SD,57105,https://www.sanfordhealth.org/locations/sanford-childrens-hospital-sioux-falls,43.5350819,-96.7455521,,,,,118,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Shriners_Hospital_for_Children
Seattle Children's,,"4800 Sand Point Way NE, Seattle, WA 98105",4800 Sand Point Way NE,, Seattle,WA,98105,https://www.seattlechildrens.org/,47.6627975,-122.2818514,,,,,360,,,,,4,10,https://en.wikipedia.org/wiki/Shriners_Hospital_for_Children_(Galveston)
Shriners Hospital for Children,,,,,,,,https://www.shrinerschildrens.org/en/locations,,,,,,Shriners,40,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospital_for_Children_(Houston)
Shriners Hospital for Children,,"2900 N Rocky Point Dr, Tampa, FL 33607",2900 N Rocky Point Dr,, Tampa,FL,33607,https://www.shrinerschildrens.org/en/locations,27.9665814,-82.5688782,,,,Shriners,,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospital_for_Children_(Portland)
Shriners Hospital for Children,,"51 Blossom St, Boston, MA 02114",51 Blossom St,, Boston,MA,2114,https://www.shrinerschildrens.org/en/locations/boston,42.3630268,-71.0665836,,,,Shriners,30,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospitals for Children,,"2211 N Oak Park Ave, Chicago, IL 60707",2211 N Oak Park Ave,, Chicago,IL,60707,https://www.shrinerschildrens.org/en/locations/chicago,41.9198805,-87.7949334,,,,Shriners,60,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospitals for Children,,"1645 West 8th St, Erie, PA 16505",1645 West 8th St,, Erie,PA,16505,https://www.shrinerschildrens.org/en/Locations/Erie,42.1130615,-80.1200919,,,,Shriners,,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospitals for Children,,"950 West Faris Rd, Greenville, SC 29605",950 West Faris Rd,, Greenville,SC,29605,https://www.shrinerschildrens.org/en/Locations/Greenville,34.817305,-82.413047,,,,Shriners,50,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospital for Children,,"1310 Punahou St, Honolulu, HI 96826-1099",1310 Punahou St,, Honolulu,HI,96826-1099,https://www.shrinerschildrens.org/en/locations/hawaii,21.3002109,-157.8357295,,,,,24,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospital for Children,,"110 Conn Terrace, Lexington, KY 40508",110 Conn Terrace,, Lexington,KY,40508,https://www.shrinerschildrens.org/en/Locations/Lexington,38.0308738,-84.5111381,,,,Shriners,50,,,,,,1,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
Shriners Hospital for Children,,"516 Carew St, Springfield, MA 01104",516 Carew St,, Springfield,MA,1104,https://www.shrinerschildrens.org/en/Locations/New-England,42.1213893,-72.5922932,,,,Shriners,40,,,,,,,https://en.wikipedia.org/wiki/Shriners_Hospitals_for_Children
